"34";"Sunway Pyramid";"Kuantan";"505"
"35";"Sunway Pyramid";"Cameron Highlands";"510"
"36";"Sunway Pyramid";"Legoland";"590"
"37";"Sunway Pyramid";"First World Hotel";"310"
"38";"Sunway Pyramid";"Genting Awana Bus Terminal";"300"
"39";"Putrajaya";"Malacca";"380"
"40";"Putrajaya";"Taman Negara";"580"
"41";"Putrajaya";"Kuantan";"540"
"42";"Putrajaya";"Cameron Highlands";"550"
"43";"Putrajaya";"Legoland";"540"
"44";"Putrajaya";"First World Hotel";"330"
"45";"Putrajaya";"Genting Awana Bus Terminal";"305"
"46";"Malacca";"Taman Negara";"220"
"47";"Malacca";"Kuantan";"530"
"48";"Malacca";"Cameron Highlands";"540"
"49";"Malacca";"Legoland";"420"
"50";"Malacca";"First World Hotel";"430"
"51";"Malacca";"Genting Awana Bus Terminal";"450"
"52";"Taman Negara";"Kuantan";"490"
"53";"Taman Negara";"Cameron Highlands";"610"
"54";"Taman Negara";"Legoland";"850"
"55";"Taman Negara";"First World Hotel";"520"
"56";"Taman Negara";"Genting Awana Bus Terminal";"500"
"57";"Kuantan";"Cameron Highlands";"690"
"58";"Kuantan";"Legoland";"630"
"59";"Kuantan";"First World Hotel";"480"
"60";"Kuantan";"Genting Awana Bus Terminal";"430"
"61";"Cameron Highlands";"Legoland";"840"
"62";"Cameron Highlands";"First World Hotel";"530"
"63";"Cameron Highlands";"Genting Awana Bus Terminal";"510"
"64";"Legoland";"First World Hotel";"620"
"65";"Legoland";"Genting Awana Bus Terminal";"600"
"66";"First World Hotel";"Genting Awana Bus Terminal";"40"
"id";"seats";"price"
"1";"24";"200"
"2";"40";"300"
"3";"56";"400"
"4";"84";"500"
"id";"img";"type";"name";"price";"status"
"1";"img/civic.png";"Sedan";"Honda Civic";"540";"Available"
"2";"img/vios.png";"Sedan";"Toyota Vios";"520";"Available"
"3";"img/accord.png";"Sedan";"Honda Accord";"570";"Available"
"4";"img/bezza.png";"Sedan";"Perodua Bezza";"500";"Available"
"5";"img/persona.png";"Sedan";"Proton Persona";"480";"Available"
"6";"img/almera.png";"Sedan";"Nissan Almera";"530";"Available"
"7";"img/outback.png";"Station Wagon";"Subaru Outback";"630";"Available"
"8";"img/508sw.png";"Station Wagon";"Peugeot 508 SW";"690";"Available"
"9";"img/grand-touring.png";"Station Wagon";"Mazda 6 Grand Touring";"670";"Available"
"10";"img/vellfire.png";"Mini Van";"Toyota Vellfire";"730";"Available"
"11";"img/alphard.png";"Mini Van";"Toyota Alphard";"740";"Available"
"12";"img/odyssey.png";"Mini Van";"Honda Odyssey";"730";"Available"
"13";"img/carnival.png";"Mini Van";"Kia Carnival";"730";"Available"
"14";"img/exora.png";"Mini Van";"Proton Exora";"700";"Available"
"15";"img/avanza.png";"Mini Van";"Toyota Avanza";"710";"Available"
"id";"location_one";"location_two";"price"
"1";"Kuala Lumpur";"KLIA 2";"45"
"2";"Kuala Lumpur";"Sunway Pyramid";"15"
"3";"Kuala Lumpur";"Genting Highlands";"100"
"4";"Kuala Lumpur";"Batu Caves";"20"
"5";"Kuala Lumpur";"Aquaria KLCC";"10"
"6";"KLIA 2";"Kuala Lumpur";"45"
"7";"KLIA 2";"Sunway Pyramid";"40"
"8";"KLIA 2";"Genting Highlands";"145"
"9";"KLIA 2";"Batu Caves";"60"
"10";"KLIA 2";"Aquaria KLCC";"50"
"11";"Sunway Pyramid";"Kuala Lumpur";"15"
"12";"Sunway Pyramid";"KLIA 2";"40"
"13";"Sunway Pyramid";"Genting Highlands";"115"
"14";"Sunway Pyramid";"Batu Caves";"30"
"15";"Sunway Pyramid";"Aquaria KLCC";"25"
"16";"Genting Highlands";"Kuala Lumpur";"100"
"17";"Genting Highlands";"KLIA 2";"145"
"18";"Genting Highlands";"Sunway Pyramid";"115"
"19";"Genting Highlands";"Batu Caves";"50"
"20";"Genting Highlands";"Aquaria KLCC";"60"
"21";"Batu Caves";"Kuala Lumpur";"20"
"22";"Batu Caves";"KLIA 2";"60"
"23";"Batu Caves";"Sunway Pyramid";"30"
"24";"Batu Caves";"Genting Highlands";"50"
"25";"Batu Caves";"Aquaria KLCC";"15"
"26";"Aquaria KLCC";"Kuala Lumpur";"10"
"27";"Aquaria KLCC";"KLIA 2";"50"
"28";"Aquaria KLCC";"Sunway Pyramid";"25"
"29";"Aquaria KLCC";"Genting Highlands";"60"
"30";"Aquaria KLCC";"Batu Caves";"15"
"id";"pass_id";"img";"name";"overview";"location";"price";"quantity";"status"
"1";"AHB00";"img/kl-city.png";"KL City Tour";"Take a tour around KL City where the city truly is a metropolis with a big central business district with many tall skyscrapers, many international renowned hotels and numerous luxurious shopping malls.";"Kuala Lumpur";"30";"32";"Available"
"2";"AHB01";"img/malacca.png";"Malacca Day Tour";"Malacca is famous for its well-preserved historical buildings along with its delicious street foods. Get this pass now to fully enjoy a day tour around Malacca's famous spots!";"Melaka";"38";"32";"Available"
"3";"AHB02";"img/cameron-highlands.png";"Cameron Highlands Day Tour";"Being the only place that is able to grow strawberries all year round due to its cooler climate, Cameron Highlands is famous for its strawberry fields. Take this chance to tour around Cameron Highlands and enjoy chilly fresh air!";"Pahang";"50";"32";"Available"
"id";"booking_id";"pass_name";"email";"travel_date";"quantity";"total"
"id";"booking_id";"email";"pickup_location";"pickup_date";"pickup_time";"dropoff_location";"pax";"total"
"id";"booking_id";"email";"seats";"departure_date";"departure_time";"departure_location";"dropoff_location";"total"
"id";"email";"question"
"3";"nelda@gmail.com";"What if i dont make it to the trip, will i get a refund?"
"id";"booking_id";"email";"type";"name";"pickup_location";"pickup_date";"pickup_time";"dropoff_location";"dropoff_date";"dropoff_time";"total"
"id";"email"
"3";"nelda@gmail.com"
"id";"package_id";"img";"name";"location";"overview";"price";"duration";"quantity";"status"
"1";"ATP00";"img/genting.png";"Trip to Genting Highlands";"Pahang";"Take a trip up to Pahang's famous Genting Highlands which is famous for its casinos and theme parks along with its chilly air.";"300";"2";"54";"Available"
"2";"ATP01";"img/penang.png";"Trip to Penang Island";"Penang";"Get a chance to tour around famous Penang's local attractions with our friendly tour guide. Meals and hotel included in package!";"410";"3";"54";"Available"
"8";"ATP02";"img/melaka-package.png";"Historical Malacca Trip";"Malacca";"Take the weekend off and stay in the city center of Malacca to enjoy its day to night beauty. Get a chance explore the City of Melaka by gliding along Sungai Melaka on a cruise boat and also tour around the tourist sites.";"510";"3";"54";"Available"
"id";"booking_id";"package_name";"email";"full_name";"ic";"contact";"travel_date";"pax";"total"
"4";"TP00";"Trip to Penang Island";"nelda@gmail.com";"Bello Nelda Marie";"971123456789";"0123456789";"2022-04-11";"2";"902"
"id";"uid";"email";"username";"password";"dob";"contact";"cardholder_name";"card_number";"expiry"
"4";"UID00";"nelda@gmail.com";"Nelda Marie";"nelda456";"1997-06-18";"0123456789";"Bello Nelda Marie";"5469464066411860";"02 / 23"
